Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
AC-1.onnx,0.000000,89.000000,11.000000,0.000000,1.100877,0.011009
AC-1.onnx,0.020000,85.000000,15.000000,0.000000,2.778355,0.027784
AC-1.onnx,0.030000,83.000000,17.000000,0.000000,2.924530,0.029245
AC-1.onnx,0.050000,76.000000,24.000000,0.000000,3.498654,0.034987
AC-1.onnx,0.070000,61.000000,39.000000,0.000000,4.482530,0.044825
AC-1.onnx,0.100000,47.000000,53.000000,0.000000,5.866369,0.058664
AC-10.onnx,0.000000,88.000000,12.000000,0.000000,1.157557,0.011576
AC-10.onnx,0.020000,85.000000,15.000000,0.000000,3.388172,0.033882
AC-10.onnx,0.030000,82.000000,18.000000,0.000000,3.485500,0.034855
AC-10.onnx,0.050000,80.000000,20.000000,0.000000,4.379904,0.043799
AC-10.onnx,0.070000,74.000000,26.000000,0.000000,5.653878,0.056539
AC-10.onnx,0.100000,73.000000,27.000000,0.000000,8.782815,0.087828
AC-11.onnx,0.000000,87.000000,13.000000,0.000000,1.204650,0.012046
AC-11.onnx,0.020000,86.000000,14.000000,0.000000,7.998370,0.079984
AC-11.onnx,0.030000,86.000000,14.000000,0.000000,13.128985,0.131290
AC-11.onnx,0.050000,84.000000,16.000000,0.000000,32.833870,0.328339
AC-11.onnx,0.070000,83.000000,17.000000,0.000000,71.919761,0.719198
AC-11.onnx,0.100000,80.000000,20.000000,0.000000,200.076788,2.000768
AC-12.onnx,0.000000,89.000000,11.000000,0.000000,1.747285,0.017473
AC-12.onnx,0.020000,88.000000,12.000000,0.000000,9.109004,0.091090
AC-12.onnx,0.030000,88.000000,12.000000,0.000000,14.172738,0.141727
AC-12.onnx,0.050000,84.000000,16.000000,0.000000,32.803096,0.328031
AC-12.onnx,0.070000,81.000000,19.000000,0.000000,83.876222,0.838762
AC-12.onnx,0.100000,79.000000,21.000000,0.000000,213.480344,2.134803
AC-3.onnx,0.000000,87.000000,13.000000,0.000000,0.958493,0.009585
AC-3.onnx,0.020000,86.000000,14.000000,0.000000,5.534712,0.055347
AC-3.onnx,0.030000,86.000000,14.000000,0.000000,7.657077,0.076571
AC-3.onnx,0.050000,84.000000,16.000000,0.000000,15.168025,0.151680
AC-3.onnx,0.070000,84.000000,16.000000,0.000000,29.709244,0.297092
AC-3.onnx,0.100000,81.000000,19.000000,0.000000,72.962100,0.729621
AC-4.onnx,0.000000,88.000000,12.000000,0.000000,1.260841,0.012608
AC-4.onnx,0.020000,86.000000,14.000000,0.000000,8.462861,0.084629
AC-4.onnx,0.030000,81.000000,19.000000,0.000000,14.591251,0.145913
AC-4.onnx,0.050000,82.000000,18.000000,0.000000,55.099982,0.551000
AC-4.onnx,0.070000,77.000000,23.000000,0.000000,149.523281,1.495233
AC-4.onnx,0.100000,58.000000,42.000000,0.000000,406.168197,4.061682
AC-5.onnx,0.000000,88.000000,12.000000,0.000000,1.135672,0.011357
AC-5.onnx,0.020000,87.000000,13.000000,0.000000,9.804869,0.098049
AC-5.onnx,0.030000,86.000000,14.000000,0.000000,22.961523,0.229615
AC-5.onnx,0.050000,83.000000,17.000000,0.000000,90.550382,0.905504
AC-5.onnx,0.070000,77.000000,23.000000,0.000000,234.955011,2.349550
AC-5.onnx,0.100000,61.000000,31.000000,8.000000,604.779357,6.047794
