Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
AC-1.onnx,-1.000000,90.000000,10.000000,0.000000,0.945837,0.009458
AC-1.onnx,0.000000,89.000000,11.000000,0.000000,0.717811,0.007178
AC-1.onnx,0.010000,87.000000,13.000000,0.000000,0.806382,0.008064
AC-1.onnx,0.050000,76.000000,24.000000,0.000000,1.651303,0.016513
AC-1.onnx,0.100000,47.000000,53.000000,0.000000,4.335100,0.043351
AC-10.onnx,-1.000000,89.000000,11.000000,0.000000,0.798275,0.007983
AC-10.onnx,0.000000,88.000000,12.000000,0.000000,0.787988,0.007880
AC-10.onnx,0.010000,87.000000,13.000000,0.000000,1.077091,0.010771
AC-10.onnx,0.050000,80.000000,20.000000,0.000000,2.594559,0.025946
AC-10.onnx,0.100000,73.000000,27.000000,0.000000,6.999592,0.069996
AC-3.onnx,-1.000000,87.000000,13.000000,0.000000,0.636013,0.006360
AC-3.onnx,0.000000,87.000000,13.000000,0.000000,0.620124,0.006201
AC-3.onnx,0.010000,87.000000,13.000000,0.000000,1.573603,0.015736
AC-3.onnx,0.050000,84.000000,16.000000,0.000000,12.238818,0.122388
AC-3.onnx,0.100000,81.000000,19.000000,0.000000,68.827405,0.688274
AC-4.onnx,-1.000000,88.000000,12.000000,0.000000,0.700318,0.007003
AC-4.onnx,0.000000,88.000000,12.000000,0.000000,0.694032,0.006940
AC-4.onnx,0.010000,88.000000,12.000000,0.000000,2.278007,0.022780
AC-4.onnx,0.050000,82.000000,18.000000,0.000000,53.129098,0.531291
AC-4.onnx,0.100000,23.000000,15.000000,62.000000,146.267627,1.462676
AC-5.onnx,-1.000000,90.000000,10.000000,0.000000,0.681308,0.006813
AC-5.onnx,0.000000,88.000000,12.000000,0.000000,0.671890,0.006719
AC-5.onnx,0.010000,87.000000,13.000000,0.000000,2.793194,0.027932
AC-5.onnx,0.050000,83.000000,17.000000,0.000000,78.013304,0.780133
AC-5.onnx,0.100000,20.000000,8.000000,72.000000,180.233375,1.802334
