Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
BM-1.onnx,-1.000000,86.000000,14.000000,0.000000,0.704243,0.007042
BM-1.onnx,0.000000,88.000000,12.000000,0.000000,0.685157,0.006852
BM-1.onnx,0.020000,88.000000,12.000000,0.000000,1.865034,0.018650
BM-1.onnx,0.030000,88.000000,12.000000,0.000000,2.657027,0.026570
BM-1.onnx,0.050000,88.000000,12.000000,0.000000,5.961796,0.059618
BM-1.onnx,0.070000,85.000000,15.000000,0.000000,10.359173,0.103592
BM-1.onnx,0.100000,86.000000,14.000000,0.000000,18.061691,0.180617
BM-2.onnx,-1.000000,84.000000,16.000000,0.000000,0.643195,0.006432
BM-2.onnx,0.000000,85.000000,15.000000,0.000000,0.643593,0.006436
BM-2.onnx,0.020000,85.000000,15.000000,0.000000,1.346800,0.013468
BM-2.onnx,0.030000,85.000000,15.000000,0.000000,1.767479,0.017675
BM-2.onnx,0.050000,85.000000,15.000000,0.000000,2.936616,0.029366
BM-2.onnx,0.070000,85.000000,15.000000,0.000000,4.799971,0.048000
BM-2.onnx,0.100000,84.000000,16.000000,0.000000,9.135086,0.091351
BM-3.onnx,-1.000000,86.000000,14.000000,0.000000,0.585321,0.005853
BM-3.onnx,0.000000,85.000000,15.000000,0.000000,0.623300,0.006233
BM-3.onnx,0.020000,85.000000,15.000000,0.000000,3.311252,0.033113
BM-3.onnx,0.030000,86.000000,14.000000,0.000000,5.860807,0.058608
BM-3.onnx,0.050000,85.000000,15.000000,0.000000,13.408232,0.134082
BM-3.onnx,0.070000,85.000000,15.000000,0.000000,28.895693,0.288957
BM-3.onnx,0.100000,86.000000,14.000000,0.000000,77.052092,0.770521
BM-4.onnx,-1.000000,84.000000,16.000000,0.000000,0.896386,0.008964
BM-4.onnx,0.000000,86.000000,14.000000,0.000000,0.859658,0.008597
BM-4.onnx,0.020000,84.000000,16.000000,0.000000,37.027615,0.370276
BM-4.onnx,0.030000,84.000000,16.000000,0.000000,109.717970,1.097180
BM-4.onnx,0.050000,84.000000,16.000000,0.000000,555.313736,5.553137
BM-4.onnx,0.070000,24.000000,5.000000,71.000000,681.034569,6.810346
BM-4.onnx,0.100000,3.000000,1.000000,96.000000,679.175656,6.791757
BM-5.onnx,-1.000000,86.000000,14.000000,0.000000,0.650307,0.006503
BM-5.onnx,0.000000,89.000000,11.000000,0.000000,0.634410,0.006344
BM-5.onnx,0.020000,87.000000,13.000000,0.000000,0.879981,0.008800
BM-5.onnx,0.030000,86.000000,14.000000,0.000000,1.015733,0.010157
BM-5.onnx,0.050000,86.000000,14.000000,0.000000,1.360131,0.013601
BM-5.onnx,0.070000,86.000000,14.000000,0.000000,1.799397,0.017994
BM-5.onnx,0.100000,85.000000,15.000000,0.000000,2.559736,0.025597
BM-6.onnx,-1.000000,86.000000,14.000000,0.000000,0.627180,0.006272
BM-6.onnx,0.000000,85.000000,15.000000,0.000000,0.627961,0.006280
BM-6.onnx,0.020000,85.000000,15.000000,0.000000,0.700431,0.007004
BM-6.onnx,0.030000,85.000000,15.000000,0.000000,0.768128,0.007681
BM-6.onnx,0.050000,84.000000,16.000000,0.000000,0.898479,0.008985
BM-6.onnx,0.070000,84.000000,16.000000,0.000000,0.989635,0.009896
BM-6.onnx,0.100000,82.000000,18.000000,0.000000,1.147354,0.011474
BM-7.onnx,-1.000000,84.000000,16.000000,0.000000,0.674293,0.006743
BM-7.onnx,0.000000,84.000000,16.000000,0.000000,0.678313,0.006783
BM-7.onnx,0.020000,82.000000,18.000000,0.000000,7.412893,0.074129
BM-7.onnx,0.030000,82.000000,18.000000,0.000000,19.997536,0.199975
BM-7.onnx,0.050000,84.000000,16.000000,0.000000,69.143189,0.691432
BM-7.onnx,0.070000,84.000000,16.000000,0.000000,177.487112,1.774871
BM-7.onnx,0.100000,79.000000,15.000000,6.000000,604.063932,6.040639
BM-8.onnx,-1.000000,85.000000,15.000000,0.000000,0.869055,0.008691
BM-8.onnx,0.000000,86.000000,14.000000,0.000000,0.857898,0.008579
BM-8.onnx,0.020000,84.000000,16.000000,0.000000,2.659950,0.026600
BM-8.onnx,0.030000,85.000000,15.000000,0.000000,4.339977,0.043400
BM-8.onnx,0.050000,84.000000,16.000000,0.000000,10.023526,0.100235
BM-8.onnx,0.070000,84.000000,16.000000,0.000000,20.400189,0.204002
BM-8.onnx,0.100000,85.000000,15.000000,0.000000,45.832680,0.458327
